frequency_rank,character,pinyin,definition,radical,radical_code,stroke_count,hsk_level,general_standard_num
1,的,de,"possessive, adjectival suffix",白,106.3,8,1,1155
2,一,yī,"one; a, an; alone",一,1.0,1,1,0001
3,是,shì,"indeed, yes, right; to be; demonstrative pronoun, this, that",日,72.5,9,1,1479
4,不,bù,"no, not; un-; negative prefix",一,1.3,4,1,0091
5,了,le,to finish; particle of completed action,亅,6.1,2,1,0017
6,在,zài,"be at, in, on; consist in, rest",土,32.3,6,1,0388
7,人,rén,man; people; mankind; someone else,人,9.0,2,1,0010
8,有,yǒu,"have, own, possess; exist",月,74.2,6,1,0390
9,我,wǒ,"our, us, i, me, my, we",戈,62.3,7,1,0761
10,他,tā,"other, another; he, she, it",人,9.3,5,1,0277
11,这,zhè,"this, the, here",辵,162.4,7,1,0837
12,个,gè,"numerary adjunct, piece; single",丨,2.2,3,1,0045
13,们,men,adjunct pronoun indicate plural,人,9.3,5,1,0273
14,中,zhōng,"central; center, middle; in the midst of; hit (target); attain",丨,2.3,4,1,0113
15,来,lái,"come, coming; return, returning",木,75.3,7,1,0707
16,上,shàng,"top; superior, highest; go up, send up",一,1.2,3,1,0036
17,大,dà,"big, great, vast, large, high",大,37.0,3,1,0032
18,为,wèi,"do, handle, govern, act; be",丶,3.3,4,2,0165
19,和,hé,"harmony, peace; peaceful, calm",口,30.5,8,1,1131
20,国,guó,"nation, country, nation-state",囗,31.5,8,1,1081
21,地,de,"earth; soil, ground; region",土,32.3,6,3,0366
22,到,dào,"go to, arrive, been to",刀,18.6,8,2,1063
23,以,yǐ,"by means of; thereby, therefore; consider as; in order to",人,9.3,4,2,0182
24,说,shuō,"speak, say, talk; scold, upbraid",言,149.7,9,1,1717
25,时,shí,"time, season; era, age, period",日,72.3,7,1,0717
26,要,yào,"necessary, essential; necessity",襾,146.3,9,2,1441
27,就,jiù,"just, simply; to come, go to; to approach, near",尢,43.9,12,2,2728
28,出,chū,"go out, send out; stand; produce",凵,17.3,5,1,0330
29,会,huì,"assemble, meet together; meeting",人,9.4,6,1,0486
30,可,kě,"may, can, -able; possibly",口,30.2,5,2,0212
31,也,yě,also; classical final particle of strong affirmation or identity,乙,5.2,3,2,0066
32,你,nǐ,"you, second person pronoun",人,9.5,7,1,0782
33,对,duì,"correct, right; facing, opposed",寸,41.2,5,1,0341
34,生,shēng,"life, living, lifetime; birth",生,100.0,5,1,0263
35,能,néng,"to be able; can, permitted to; ability",肉,130.6,10,1,2146
36,而,ér,and; and then; and yet; but,而,126.0,6,3,0392
37,子,zi,"offspring, child; fruit, seed of; 1st terrestrial branch",子,39.0,3,1,0064
38,那,nà,"that, that one, those",邑,163.4,6,1,0564
39,得,dé,"obtain, get, gain, acquire",彳,60.8,11,2,2341
40,于,yú,"in, on, at; go to; surname",二,7.1,3,3,0024
41,着,zhe,"make move, take action",目,109.6,11,2,2398
42,下,xià,"under, underneath, below; down; inferior; bring down",一,1.2,3,1,0030
43,自,zì,"self, private, personal; from",自,132.0,6,3,0477
44,之,zhī,"marks preceding phrase as modifier of following phrase; it, him her, them; go to",丿,4.3,3,4,0058
45,年,nián,,干,51.3,6,1,0444
46,过,guò,"pass, pass through, go across",辵,162.3,6,2,0379
47,发,fā,"issue, dispatch, send out; hair",又,29.3,5,3,0339
48,后,hòu,"queen, empress, sovereign; (simp. for ",口,30.3,6,1,0482
49,作,zuò,"make; work; compose, write; act, perform",人,9.5,7,1,0777
50,里,lǐ,unit of distance; village; lane,里,166.0,7,1,0721
51,用,yòng,"use, employ, apply, operate; use",用,101.0,5,3,0283
52,道,dào,"path, road, street; method, way",辵,162.9,12,2,2745
53,行,xíng,"go; walk; move, travel; circulate",行,144.0,6,3,0483
54,所,suǒ,"place, location; numerary adjunct",戶,63.4,8,2,1164
55,然,rán,"yes, certainly; pledge, promise",火,86.8,12,2,2723
56,家,jiā,"house, home, residence; family",宀,40.7,10,1,2099
57,种,zhǒng,"seed; race, breed; to plant",禾,115.4,9,3,1549
58,事,shì,"affair, matter, business; to serve; accident, incident",亅,6.7,8,2,1038
59,成,chéng,"completed, finished, fixed",戈,62.3,6,3,0401
60,方,fāng,"a square, rectangle; a region; local",方,70.0,4,3,0163
61,多,duō,"much, many; more than, over",夕,36.3,6,1,0507
62,经,jīng,classic works; pass through,糸,120.5,8,2,1350
63,么,me,interrogative particle; repetition of a tune small; tender,丿,4.2,3,1,0048
64,去,qù,"go away, leave, depart",厶,28.3,5,1,0204
65,法,fǎ,"law, rule, regulation, statute; France, French",水,85.5,8,3,1241
66,学,xué,"learning, knowledge; school",子,39.5,8,1,1273
67,如,rú,"if, supposing; as if; like, as",女,38.3,6,3,0578
68,都,dōu,"metropolis, capital; all, the whole; elegant, refined",邑,163.9,10,1,1801
69,同,tóng,"same, similar; together with",口,30.3,6,1,0427
70,现,xiàn,"appear, manifest, become visible",玉,96.4,8,1,0949
71,当,dāng,"bear, accept, undertake; just",小,42.3,6,3,0418
72,没,méi,"not, have not, none; drown, sink",水,85.4,7,1,0867
73,动,dòng,"move, happen; movement, action",力,19.4,6,2,0353
74,面,miàn,"face; surface; plane; side, dimension",面,176.0,9,1,1455
75,起,qǐ,"rise, stand up; go up; begin",走,156.3,10,1,1789
76,看,kàn,"look, see; examine, scrutinize",目,109.4,9,1,1539
77,定,dìng,"decide, settle, fix",宀,40.5,8,3,1276
78,天,tiān,"sky, heaven; god, celestial",大,37.1,4,1,0078
79,分,fēn,divide; small unit of time etc.,刀,18.2,4,1,0146
80,还,hái,"still, yet, also, besides",辵,162.4,7,2,0704
81,进,jìn,"advance, make progress, enter",辵,162.4,7,2,0605
82,好,hǎo,"good, excellent, fine; well",女,38.3,6,1,0581
83,小,xiǎo,"small, tiny, insignificant",小,42.0,3,1,0037
84,部,bù,"part, division, section",邑,163.8,10,4,2044
85,其,qí,"his, her, its, their; that",八,12.6,8,3,0996
86,些,xiē,"little, few; rather, somewhat",二,7.5,8,1,1069
87,主,zhǔ,"master, chief owner; host; lord",丶,3.4,5,3,0300
88,样,yàng,"shape, form, pattern, style",木,75.6,10,1,1849
89,理,lǐ,"reason, logic; manage",玉,96.7,11,3,2157
90,心,xīn,"heart; mind, intelligence; soul",心,61.0,4,3,0174
91,她,tā,"she, her",女,38.3,6,1,0582
92,本,běn,"root, origin, source; basis",木,75.1,5,1,0210
93,前,qián,"in front, forward; preceding",刀,18.7,9,1,1650
94,开,kāi,"open; initiate, begin, start",廾,55.1,4,1,0076
95,但,dàn,"only; but, however, yet, still",人,9.5,7,2,0774
96,因,yīn,"cause, reason; by; because (of)",囗,31.3,6,2,0430
97,只,zhǐ,"only, just, simply",口,30.2,5,3,0246
98,从,cóng,"from, by, since, whence, through",人,9.2,4,2,0142
99,想,xiǎng,"think, speculate, plan, consider",心,61.9,13,1,2867
100,实,shí,"real, true; honest, sincere",宀,40.5,8,3,1285
101,日,rì,sun; day; daytime,日,72.0,4,2,0112
102,军,jūn,"army, military; soldiers, troops",車,159.2,6,5,0552
103,者,zhě,that which; he who; those who,老,125.4,8,3,0969
104,意,yì,"thought, idea, opinion; think",心,61.9,13,2,2996
105,无,wú,"negative, no, not; KangXi radical 71",无,71.0,4,4,0081
106,力,lì,"power, capability, influence",力,19.0,2,3,0019
107,它,tā,it; other,宀,40.2,5,2,0314
108,与,yǔ,"and; with; to; for; give, grant",一,1.3,3,4,0034
109,长,zhǎng,long; length; excel in; leader,長,168.0,4,2,0127
110,把,bǎ,"hold, take; guard; regard as",手,64.4,7,3,0655
111,机,jī,desk; machine; moment,木,75.2,6,1,0377
112,十,shí,"ten, tenth; complete; perfect",十,24.0,2,1,0004
113,民,mín,"people, subjects, citizens",氏,83.1,5,4,0327
114,第,dì,"sequence, number; grade, degree",竹,118.5,11,2,2322
115,公,gōng,"fair, equitable; public; duke",八,12.2,4,2,0148
116,此,cǐ,"this, these; in this case, then",止,77.2,6,4,0411
117,已,yǐ,already; finished; stop,己,49.0,3,2,0061
118,工,gōng,"labor, work; worker, laborer",工,48.0,3,1,0026
119,使,shǐ,"cause, send on a mission, order; envoy, messenger, ambassador",人,9.6,8,4,1139
120,情,qíng,"feeling, sentiment, emotion",心,61.8,11,2,2438
121,明,míng,"bright, light, brilliant; clear",日,72.4,8,1,1087
122,性,xìng,"nature, character, sex",心,61.5,8,4,1268
123,知,zhī,"know, perceive, comprehend",矢,111.3,8,2,1122
124,全,quán,"maintain, keep whole or intact",入,11.4,6,4,0485
125,三,sān,three,一,1.2,3,1,0022
126,又,yòu,"and, also, again, in addition",又,29.0,2,3,0021
127,关,guān,frontier pass; close; relation,八,12.4,6,1,0532
128,点,diǎn,"dot, speck, spot; point, degree",火,86.5,9,1,1469
129,正,zhèng,"right, proper, correct",止,77.1,5,2,0198
130,业,yè,"profession, business; GB radical 111",一,1.4,5,3,0231
131,外,wài,"out, outside, external; foreign",夕,36.2,5,2,0293
132,将,jiāng,"will, going to, future; general",爿,90.6,9,4,1617
133,两,liǎng,"two, both, pair, couple; ounce",一,1.6,7,2,0697
134,高,gāo,"high, tall; lofty, elevated",高,189.0,10,1,2021
135,间,jiān,"midpoint, space; place, locality",門,169.4,7,2,0847
136,由,yóu,"cause, reason; from",田,102.0,5,4,0245
137,问,wèn,"ask about, inquire after",門,169.3,6,2,0528
138,很,hěn,"very, quite, much",彳,60.6,9,1,1584
139,最,zuì,"most, extremely, exceedingly",曰,73.8,12,2,2614
140,重,zhòng,"heavy, weighty; double",里,166.2,9,3,1552
141,并,bìng,,干,51.5,6,4,0531
142,物,wù,"thing, substance, creature",牛,93.4,8,3,1127
143,手,shǒu,hand,手,64.0,4,2,0121
144,应,yīng,"should, ought to, must",广,53.4,7,3,0836
145,战,zhàn,"war, fighting, battle",戈,62.5,9,5,1468
146,向,xiàng,"toward, direction, trend",口,30.3,6,3,0480
147,头,tóu,"head; top; chief, first; boss",大,37.2,5,3,0310
148,文,wén,"literature, culture, writing",文,67.0,4,3,0161
149,体,tǐ,"body; group, class, body, unit; inferior",人,9.5,7,2,0770
150,政,zhèng,"government, political affairs",攴,66.4,9,5,1376
151,美,měi,"beautiful, pretty; pleasing",羊,123.3,9,4,1642
152,相,xiāng,"mutual, reciprocal, each other",目,109.4,9,3,1430
153,见,jiàn,"see, observe, behold; perceive",見,147.0,4,1,0118
154,被,bèi,,衣,145.5,10,3,2118
155,利,lì,"gains, advantage, profit, merit",刀,18.5,7,4,0763
156,什,shén,"file of ten soldiers; mixed, miscellaneous",人,9.2,4,1,0129
157,二,èr,two; twice,二,7.0,2,1,0003
158,等,děng,,竹,118.6,12,2,2681
159,产,chǎn,"give birth, bring forth, produce",立,117.1,6,5,0522
160,或,huò,"or, either, else; perhaps, maybe",戈,62.4,8,3,1035
161,新,xīn,"new, recent, fresh, modern",斤,69.9,13,2,2994
162,己,jǐ,"self, oneself; personal, private; 6th heavenly stem",己,49.0,3,3,0060
163,制,zhì,system; establish; overpower,刀,18.6,8,5,1121
164,身,shēn,"body; trunk, hull; rad. no. 158",身,158.0,7,2,0786
165,果,guǒ,fruit; result,木,75.4,8,1,1079
166,加,jiā,"add to, increase, augment",力,19.3,5,3,0335
167,西,xī,"west(ern); westward, occident",襾,146.0,6,1,0384
168,斯,sī,"this, thus, such; to lop off; emphatic particle",斤,69.8,12,6,2541
169,月,yuè,moon; month; KangXi radical 74,月,74.0,4,1,0150
170,话,huà,"speech, talk, language; dialect",言,149.6,8,1,1296
171,合,hé,"combine, unite, join; gather",口,30.3,6,4,0488
172,回,huí,"return, turn around; a time",囗,31.3,6,1,0438
173,特,tè,"special, unique, distinguished",牛,93.6,10,3,1938
174,代,dài,"replace, replacement (of person or generation); era, generation",人,9.3,5,5,0271
175,内,nèi,inside,入,11.2,4,4,0116
176,信,xìn,"trust, believe; letter",人,9.7,9,3,1570
177,表,biǎo,"show, express, manifest, display",衣,145.3,8,2,0951
178,化,huà,"change, convert, reform; -ize",匕,21.2,4,3,0132
179,老,lǎo,"old, aged; experienced",老,125.0,6,1,0360
180,给,gěi,"give; by, for",糸,120.6,9,2,1758
181,世,shì,generation; world; era,一,1.4,5,3,0206
182,位,wèi,"throne; position, post; rank, status; seat",人,9.5,7,3,0784
183,次,cì,"order, sequence; next",欠,76.2,6,2,0521
184,度,dù,"degree, system; manner; to consider",广,53.6,9,4,1622
185,门,mén,"gate, door, entrance, opening",門,169.0,3,2,0055
186,任,rèn,"trust to, rely on, appoint; to bear, duty, office; allow",人,9.4,6,4,0467
187,常,cháng,"common, normal, frequent, regular",巾,50.8,11,2,2257
188,先,xiān,"first, former, previous",儿,10.4,6,1,0446
189,海,hǎi,"sea, ocean; maritime",水,85.7,10,4,2074
190,通,tōng,"pass through, common, communicate",辵,162.7,10,4,2145
191,教,jiào,"teach, class",攴,66.7,11,2,2179
192,儿,ér,"son, child; KangXi radical 10",儿,10.0,2,1,0012
193,原,yuán,"source, origin, beginning",厂,27.8,10,4,1868
194,东,dōng,"east, eastern, eastward",一,1.4,5,1,0225
195,声,shēng,"sound, voice, noise; tone; music",士,33.4,7,3,0654
196,提,tí,hold in hand; lift in hand,手,64.9,12,3,2520
197,立,lì,"stand; let stand; establish, set",立,117.0,5,5,0302
198,及,jí,extend; reach; come up to; and,又,29.2,3,4,0052
199,比,bǐ,"to compare, liken; comparison; than",比,81.0,4,2,0105
200,员,yuán,"member; personnel, staff member",口,30.4,7,2,0737
201,解,jiě,"loosen, unfasten, untie; explain",角,148.6,13,3,2981
202,水,shuǐ,"water, liquid, lotion, juice",水,85.0,4,1,0117
203,名,míng,"name, rank, title, position",口,30.3,6,1,0505
204,真,zhēn,"real, actual, true, genuine",目,109.5,10,2,1832
205,论,lùn,debate; discuss; discourse,言,149.4,6,4,0556
206,处,chù,"place, locale; department",夂,34.2,5,4,0294
207,走,zǒu,"walk, go on foot; run; leave",走,156.0,7,2,0625
208,义,yì,"right conduct, righteousness",丿,4.2,3,5,0057
209,各,gè,"each, individually, every, all",口,30.3,6,4,0506
210,入,rù,"enter, come in(to), join",入,11.0,2,4,0011
211,几,jǐ,small table,几,16.0,2,1,0014
212,口,kǒu,"mouth; open end; entrance, gate",口,30.0,3,3,0038
213,认,rèn,"recognize, know, understand",言,149.2,4,1,0171
214,条,tiáo,"clause, condition; string, stripe",木,75.3,7,2,0816
215,平,píng,"flat, level, even; peaceful",干,51.2,5,3,0222
216,系,xì,"system; line, link, connection",糸,120.1,7,1,0825
217,气,qì,"steam, vapor; KangXi radical 84",气,84.0,4,1,0122
218,题,tí,"forehead; title, headline; theme",頁,181.9,15,2,3233
219,活,huó,"live, exist, survive; lively",水,85.6,9,4,1672
